R,LDG,LDGQ,LDP,LDPQ,WD
0.3095,9.04E-03,1.26E-03,3.02E-02,1.55E-02,6.06E-03
0.3105,9.01E-03,1.27E-03,3.01E-02,1.55E-02,6.05E-03
0.3115,8.98E-03,1.27E-03,2.99E-02,1.54E-02,6.03E-03
0.3125,8.95E-03,1.27E-03,2.98E-02,1.54E-02,6.02E-03
0.3135,8.91E-03,1.27E-03,2.97E-02,1.54E-02,6.00E-03
0.3145,8.88E-03,1.27E-03,2.96E-02,1.53E-02,5.98E-03
0.3155,8.85E-03,1.28E-03,2.95E-02,1.53E-02,5.97E-03
0.3165,8.82E-03,1.28E-03,2.94E-02,1.53E-02,5.95E-03
0.3175,8.79E-03,1.28E-03,2.92E-02,1.53E-02,5.93E-03
0.3185,8.76E-03,1.28E-03,2.91E-02,1.52E-02,5.92E-03
0.3195,8.73E-03,1.28E-03,2.90E-02,1.52E-02,5.90E-03
0.3205,8.70E-03,1.29E-03,2.89E-02,1.52E-02,5.88E-03
0.3215,8.67E-03,1.29E-03,2.88E-02,1.51E-02,5.87E-03
0.3225,8.63E-03,1.29E-03,2.87E-02,1.51E-02,5.85E-03
0.3235,8.60E-03,1.29E-03,2.86E-02,1.51E-02,5.83E-03
0.3245,8.57E-03,1.29E-03,2.84E-02,1.51E-02,5.82E-03
0.3255,8.54E-03,1.29E-03,2.83E-02,1.50E-02,5.80E-03
0.3265,8.51E-03,1.30E-03,2.82E-02,1.50E-02,5.78E-03
0.3275,8.48E-03,1.30E-03,2.81E-02,1.50E-02,5.76E-03
0.3285,8.45E-03,1.30E-03,2.80E-02,1.49E-02,5.75E-03
0.3295,8.42E-03,1.30E-03,2.79E-02,1.49E-02,5.73E-03
0.3305,8.40E-03,1.30E-03,2.78E-02,1.49E-02,5.71E-03
0.3315,8.37E-03,1.30E-03,2.77E-02,1.48E-02,5.70E-03
0.3325,8.34E-03,1.31E-03,2.76E-02,1.48E-02,5.68E-03
0.3335,8.31E-03,1.31E-03,2.75E-02,1.48E-02,5.66E-03
0.3345,8.28E-03,1.31E-03,2.74E-02,1.48E-02,5.64E-03
0.3355,8.25E-03,1.31E-03,2.73E-02,1.47E-02,5.63E-03
0.3365,8.22E-03,1.31E-03,2.72E-02,1.47E-02,5.61E-03
0.3375,8.19E-03,1.31E-03,2.71E-02,1.47E-02,5.59E-03
0.3385,8.16E-03,1.31E-03,2.69E-02,1.46E-02,5.57E-03
0.3395,8.14E-03,1.31E-03,2.68E-02,1.46E-02,5.55E-03
0.3405,8.11E-03,1.32E-03,2.67E-02,1.46E-02,5.54E-03
0.3415,8.08E-03,1.32E-03,2.66E-02,1.45E-02,5.52E-03
0.3425,8.05E-03,1.32E-03,2.65E-02,1.45E-02,5.50E-03
0.3435,8.02E-03,1.32E-03,2.64E-02,1.45E-02,5.48E-03
0.3445,8.00E-03,1.32E-03,2.63E-02,1.44E-02,5.47E-03
0.3455,7.97E-03,1.32E-03,2.62E-02,1.44E-02,5.45E-03
