R,Exact,LDG,LDGQ,LDP,LDPQ,WD
0.2105,1.504635E+00,1.504637E+00,1.504669E+00,1.505482E+00,1.505746E+00,1.505133E+00
0.2115,1.504956E+00,1.504957E+00,1.504990E+00,1.505793E+00,1.506053E+00,1.505443E+00
0.2125,1.505278E+00,1.505279E+00,1.505312E+00,1.506106E+00,1.506362E+00,1.505755E+00
0.2135,1.505601E+00,1.505602E+00,1.505636E+00,1.506421E+00,1.506673E+00,1.506068E+00
0.2145,1.505927E+00,1.505928E+00,1.505961E+00,1.506738E+00,1.506985E+00,1.506383E+00
0.2155,1.506254E+00,1.506254E+00,1.506288E+00,1.507056E+00,1.507300E+00,1.506700E+00
0.2165,1.506582E+00,1.506583E+00,1.506617E+00,1.507376E+00,1.507616E+00,1.507019E+00
0.2175,1.506912E+00,1.506913E+00,1.506947E+00,1.507698E+00,1.507934E+00,1.507339E+00
0.2185,1.507244E+00,1.507244E+00,1.507279E+00,1.508022E+00,1.508253E+00,1.507661E+00
0.2195,1.507578E+00,1.507578E+00,1.507612E+00,1.508347E+00,1.508575E+00,1.507985E+00
0.2205,1.507913E+00,1.507913E+00,1.507947E+00,1.508675E+00,1.508898E+00,1.508311E+00
0.2215,1.508249E+00,1.508249E+00,1.508284E+00,1.509004E+00,1.509223E+00,1.508638E+00
0.2225,1.508588E+00,1.508588E+00,1.508622E+00,1.509334E+00,1.509549E+00,1.508967E+00
0.2235,1.508928E+00,1.508927E+00,1.508962E+00,1.509667E+00,1.509878E+00,1.509298E+00
0.2245,1.509269E+00,1.509269E+00,1.509304E+00,1.510001E+00,1.510208E+00,1.509630E+00
0.2255,1.509613E+00,1.509612E+00,1.509647E+00,1.510337E+00,1.510540E+00,1.509964E+00
0.2265,1.509957E+00,1.509957E+00,1.509992E+00,1.510675E+00,1.510874E+00,1.510300E+00
0.2275,1.510304E+00,1.510304E+00,1.510339E+00,1.511015E+00,1.511210E+00,1.510638E+00
0.2285,1.510652E+00,1.510652E+00,1.510687E+00,1.511356E+00,1.511547E+00,1.510977E+00
0.2295,1.511002E+00,1.511001E+00,1.511036E+00,1.511699E+00,1.511886E+00,1.511318E+00
0.2305,1.511353E+00,1.511353E+00,1.511388E+00,1.512044E+00,1.512227E+00,1.511661E+00
0.2315,1.511706E+00,1.511706E+00,1.511741E+00,1.512391E+00,1.512570E+00,1.512006E+00
0.2325,1.512061E+00,1.512061E+00,1.512096E+00,1.512739E+00,1.512914E+00,1.512352E+00
0.2335,1.512418E+00,1.512417E+00,1.512452E+00,1.513089E+00,1.513260E+00,1.512701E+00
0.2345,1.512776E+00,1.512775E+00,1.512810E+00,1.513441E+00,1.513608E+00,1.513051E+00
0.2355,1.513135E+00,1.513135E+00,1.513170E+00,1.513794E+00,1.513958E+00,1.513402E+00
0.2365,1.513497E+00,1.513496E+00,1.513531E+00,1.514150E+00,1.514310E+00,1.513756E+00
0.2375,1.513860E+00,1.513859E+00,1.513894E+00,1.514507E+00,1.514663E+00,1.514111E+00
0.2385,1.514224E+00,1.514224E+00,1.514258E+00,1.514866E+00,1.515019E+00,1.514468E+00
0.2395,1.514591E+00,1.514591E+00,1.514625E+00,1.515226E+00,1.515376E+00,1.514827E+00
0.2405,1.514959E+00,1.514959E+00,1.514992E+00,1.515589E+00,1.515734E+00,1.515187E+00
0.2415,1.515328E+00,1.515328E+00,1.515362E+00,1.515953E+00,1.516095E+00,1.515550E+00
0.2425,1.515700E+00,1.515700E+00,1.515733E+00,1.516319E+00,1.516457E+00,1.515914E+00
0.2435,1.516072E+00,1.516073E+00,1.516106E+00,1.516686E+00,1.516821E+00,1.516280E+00
0.2445,1.516447E+00,1.516448E+00,1.516481E+00,1.517056E+00,1.517187E+00,1.516647E+00
0.2455,1.516823E+00,1.516824E+00,1.516857E+00,1.517427E+00,1.517555E+00,1.517017E+00
0.2465,1.517201E+00,1.517202E+00,1.517235E+00,1.517800E+00,1.517924E+00,1.517388E+00
0.2475,1.517581E+00,1.517582E+00,1.517614E+00,1.518174E+00,1.518296E+00,1.517761E+00
0.2485,1.517962E+00,1.517963E+00,1.517995E+00,1.518551E+00,1.518669E+00,1.518136E+00
0.2495,1.518345E+00,1.518346E+00,1.518378E+00,1.518929E+00,1.519044E+00,1.518512E+00
0.2505,1.518730E+00,1.518731E+00,1.518763E+00,1.519309E+00,1.519420E+00,1.518891E+00
